dependency,canonical_repo,branch_and_head,domain_owner,verified_interface,runtime_posture,wo00_classification,next_named_test
Public site,D:\Lab\Git\hyperion-industries-publish,codex/Chonoslanding @ a72c5b46f5df,Public acquisition and compiled UI,"React/Vite; GitHub Pages; staged api/*.js",Root live; api paths return HTML shell,verified static / blocked API,Deploy intake Worker and verify JSON receipt
Operator Worker,D:\Lab\Git\hyperion-industries-publish\workers\operator,untracked WIP,Public Operator chat and inquiry capture,"Cloudflare Worker; D1; email; /api/operator/*",Source tests pass; deployment unknown,verified source / unknown deployment,Confirm owner and live Worker bindings
HypRM CRM,D:\Lab\Git\HypRM-Command,codex/hyprm-command-crm-separation @ 8ae098ef2233,CRM plus clients relationships intakes operations and records,"FastAPI /api/health /api/crm/intake and entity routes; SQLite",Live on 127.0.0.1:8781,verified local runtime,Add idempotent operator-gated site-intake promotion
Founder Command,D:\Lab\Git\HypRM-Founder-Command,codex/hyprm-founder-command-installer @ 532bfb14fed0,Founder decision deck and context cards,"FastAPI /api/command/* and context_cards store",Not live; default port conflicts with HypRM CRM,verified source / blocked runtime,Temp-port smoke of explicit intake context-card adapter
CHR0N.OS,D:\Lab\Git\Frameworks,codex/public-beta-commercial-safe-v0.2.2 @ af09667a12a3,Durable evidence provenance archive and intake jobs,"FastAPI /api/version /api/ingest /api/jobs/*",Installed 0.2.2 live on 127.0.0.1:7474,verified local runtime,Disposable structured submission-snapshot ingest test
Mnem.OS,D:\Lab\Git\Mnem.OS,mnem-os-staging @ cad527,Operator-reviewed continuity and memory,"FastAPI /api/agents/memory-proposals /api/continuity/*",Live on 127.0.0.1:8765,verified local runtime / mocked adapter,Prove candidate-only non-promoting submission
Hyperion Connect,D:\Lab\Git\Hyperion-Connect,codex/connect-field-proposal-broker @ 0f5f43f998c5,Transport service health proposals and reconciliation,"Relay /api/hyperion/connect/status; service_fabric; outbox",Live hub-online on 127.0.0.1:3284,verified local transport runtime,Cloud-to-local pull and replay test
Hyperion Nest,D:\Lab\Git\Hyperion-Nest,codex/hyperion-nest-archive-intake-weighing-039 @ fb823c,Agent and provider runtime,"Express /api/health; builder /health; Agents SDK",Main 8787 live; builder 8791 permits writes and execution,verified runtime / blocked compiler,Dedicated no-tool no-write schema compiler test
Arg.OS,D:\Lab\Git\Arg.OS,codex/argos-role-dex-installer-stability @ 94f101,Support ticket authority and operations,"Authority /api/healthz; authenticated /api/admin/tickets",Live online 1.0.0 on 127.0.0.1:4042,verified local runtime / mocked adapter,Authenticated disposable ticket projection and cleanup
Shopify integration,D:\Lab\Git\hyperion-industries-publish,codex/Chonoslanding @ a72c5b46f5df,Draft-order commerce provider,"api/shopify/draft-order.js; api/shopify/webhook.js",Source staged; not live; bindings unknown,staged / blocked live,Development-store draft plus signed durable webhook replay
Civi compatibility,D:\Lab\Git\HypRM-Command,codex/hyprm-command-crm-separation @ 8ae098ef2233,External interoperability edge,"interop/civicrm mapping and import/export",No Civi core runtime selected,blocked / reference-only,Name an external Civi target before compatibility test
Scen.OS design reference,D:\Lab\Git\Scen.OS,unknown pending repo sweep,Design tokens and compact-at-rest interaction reference,src/renderer/styles/scenos.css,Reference only; no runtime dependency,verified reference / no ownership transfer,Visual QA against tokens without source sharing
